

DATA-FILE  wagenPTS.OUT


Name of run: wagen


Station=  wage , Soil=  1, Crop=  1, Irr.=  0, Runof= .00, CO2=355.

 Planting on day 130, 1971
 Crop emergence on day   0, 1971
 test                                                                            

 POTATO PRODUCTION AND SOIL WATER STATUS
 =======================================
 DAY    WTUB    TAGB   RDRY   SMACT   TRAIN   TIRR  TTRANS   TESOIL  TDRAIN  TRUNOF   WTOT   WAVT   PARAB    PAR
 130      0.     60.   1.00    .35      0.      0.      0.      0.      0.      0.    175.    125.     0.     0.
 140      0.     60.   1.00    .34     42.      0.      0.     24.     22.      0.    171.    121.     0.    92.
 150      0.     60.   1.00    .35     61.      0.      0.     41.     22.      0.    173.    123.     0.   172.
 153      0.     60.   1.00    .34     61.      0.      0.     44.     22.      0.    170.    120.     0.   209.
 160      0.    367.   1.00    .32     61.      0.      3.     50.     22.      0.    161.    111.    10.   276.
 170     10.   1504.   1.00    .35    120.      0.     21.     56.     43.      0.    175.    125.    54.   336.
 180    965.   3516.   1.00    .34    159.      0.     53.     57.     54.      0.    170.    120.   123.   408.
 190   3071.   6802.   1.00    .25    160.      0.     99.     57.     54.      0.    126.     76.   234.   519.
 200   5402.   9463.    .81    .17    161.      0.    137.     57.     54.      0.     87.     37.   332.   617.
 210   7405.  11225.   1.00    .18    189.      0.    164.     57.     54.      0.     90.     40.   400.   685.
 220   9295.  12837.    .82    .18    214.      0.    189.     57.     54.      0.     89.     39.   482.   767.
 230  11063.  14337.    .48    .15    224.      0.    211.     57.     54.      0.     77.     27.   543.   828.
 240  12426.  15471.   1.00    .17    252.      0.    228.     60.     54.      0.     85.     35.   601.   901.
 250  13178.  15935.    .53    .15    257.      0.    236.     67.     54.      0.     75.     25.   620.   965.
 253  13294.  15967.   1.00    .15    257.      0.    237.     69.     54.      0.     73.     23.   622.   991.
 253  13294.  15967.   1.00    .15    257.      0.    237.     69.     54.      0.     73.     23.   622.   991.
